<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APT,D,20160428,000000,24.797,25.348,24.3,24.453,46694,0
APT,D,20160429,000000,25.2,25.2,24.067,24.997,31721,0
APT,D,20160502,000000,25.231,25.502,25.231,25.237,39422,0
APT,D,20160504,000000,24.453,25.61,24.417,24.453,9987,0
APT,D,20160505,000000,24.3,24.493,23.764,24.493,6470,0
APT,D,20160506,000000,24.074,24.531,24.067,24.531,2198,0
APT,D,20160509,000000,24.229,24.531,24.229,24.5,604,0
APT,D,20160510,000000,24.229,24.392,23.134,23.165,20320,0
APT,D,20160511,000000,23.057,23.289,22.902,23.057,85536,0
APT,D,20160512,000000,23.064,23.678,22.124,22.824,37878,0
APT,D,20160513,000000,23.119,23.678,22.784,23.506,8363,0
APT,D,20160516,000000,23.678,23.857,23.485,23.678,33914,0
APT,D,20160517,000000,24.338,24.338,24.067,24.22,3811,0
APT,D,20160518,000000,24.261,24.453,23.678,24.453,3621,0
APT,D,20160519,000000,23.725,24.803,23.725,24.68,43679,0
APT,D,20160520,000000,24.68,25.106,24.563,24.897,20951,0
APT,D,20160523,000000,24.85,24.891,23.678,24.028,18599,0
APT,D,20160524,000000,24.011,25.099,23.778,24.85,57843,0
APT,D,20160525,000000,25.037,25.153,24.914,24.943,9750,0
APT,D,20160527,000000,24.967,25.005,24.689,24.843,43092,0
APT,D,20160530,000000,24.579,24.827,24.461,24.827,267,0
APT,D,20160531,000000,24.843,24.843,24.531,24.751,30690,0
APT,D,20160601,000000,24.751,24.751,23.647,23.988,20730,0
APT,D,20160602,000000,24.028,24.422,24.028,24.028,1507,0
APT,D,20160603,000000,24.09,24.237,24.09,24.106,10034,0
APT,D,20160606,000000,24.121,24.22,24.06,24.145,7263,0
APT,D,20160607,000000,24.145,25.137,24.145,24.145,10377,0
APT,D,20160608,000000,24.3,24.764,24.22,24.531,27692,0
APT,D,20160609,000000,24.764,25.123,24.322,24.447,65756,0
APT,D,20160610,000000,24.844,25.076,24.689,24.689,44567,0
