<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZWC,D,20070315,000000,198.82,198.82,198.63,198.63,43,0
ZWC,D,20070316,000000,198.63,199.8,197.44,199.8,190,0
ZWC,D,20070319,000000,200.8,201.78,198.63,199.42,296,0
ZWC,D,20070320,000000,199.42,200.2,199.42,199.8,151,0
ZWC,D,20070321,000000,199.42,203.54,199.42,203.54,508,0
ZWC,D,20070322,000000,203.54,204.34,203.54,203.54,280,0
ZWC,D,20070323,000000,200.39,200.39,199.8,200.01,1866,0
ZWC,D,20070326,000000,202.56,202.56,200.2,200.2,445,0
ZWC,D,20070327,000000,200.39,200.39,199.8,199.8,967,0
ZWC,D,20070328,000000,200.39,202.36,198.63,199.8,891,0
ZWC,D,20070329,000000,200.2,200.2,198.63,199.42,1400,0
ZWC,D,20070330,000000,199.02,200.97,198.82,199.42,1227,0
ZWC,D,20070402,000000,200.59,200.59,199.8,199.8,515,0
ZWC,D,20070403,000000,200.59,202.75,199.8,199.8,1798,0
ZWC,D,20070404,000000,199.8,200.59,199.42,199.42,2223,0
ZWC,D,20070405,000000,204.13,204.13,200.97,201.78,4335,0
ZWC,D,20070410,000000,204.52,205.69,203.74,203.74,2769,0
ZWC,D,20070411,000000,205.31,205.31,203.74,203.74,2973,0
ZWC,D,20070412,000000,205.31,205.31,203.35,204.92,2488,0
ZWC,D,20070413,000000,205.31,209.24,205.31,209.04,2992,0
ZWC,D,20070416,000000,211.41,212.38,210.41,212.01,3331,0
ZWC,D,20070417,000000,212.59,213.97,208.45,212.01,9060,0
ZWC,D,20070418,000000,212.41,215.36,208.66,212.82,5505,0
ZWC,D,20070419,000000,212.82,216.79,210.75,214.49,1692,0
ZWC,D,20070420,000000,214.49,220.35,214.49,214.91,1852,0
ZWC,D,20070423,000000,214.49,216.16,213.67,214.49,2801,0
ZWC,D,20070424,000000,212.01,214.91,212.01,214.91,2382,0
ZWC,D,20070425,000000,215.75,215.75,213.67,215.36,4414,0
ZWC,D,20070426,000000,214.91,214.91,213.67,213.67,48,0
ZWC,D,20070427,000000,213.67,213.67,207.81,212.01,1026,0
ZWC,D,20070430,000000,214.3,214.3,209.91,210.12,43,0
ZWC,D,20070502,000000,212.01,212.01,210.12,210.12,239,0
ZWC,D,20070504,000000,210.12,210.12,208.11,209.08,2177,0
ZWC,D,20070507,000000,207.2,209.48,207.2,208.66,736,0
ZWC,D,20070508,000000,206.57,208.66,205.31,205.31,295,0
ZWC,D,20070509,000000,203.23,204.48,202.81,203.64,515,0
ZWC,D,20070510,000000,203.64,204.07,202.4,202.4,574,0
ZWC,D,20070511,000000,201.56,201.99,198.35,200.73,406,0
ZWC,D,20070514,000000,204.07,204.07,200.73,201.16,407,0
ZWC,D,20070515,000000,201.61,206.36,201.61,206.36,374,0
ZWC,D,20070516,000000,207.81,208.62,206.57,207.2,881,0
ZWC,D,20070517,000000,209.7,210.33,207,209.08,1844,0
ZWC,D,20070518,000000,209.29,209.29,207,208.23,825,0
ZWC,D,20070521,000000,208.66,208.66,207,207,945,0
ZWC,D,20070522,000000,208.66,208.66,207,207.81,183,0
ZWC,D,20070523,000000,208.44,208.66,202.91,208.66,1795,0
ZWC,D,20070524,000000,209.91,209.91,207.81,208.66,926,0
ZWC,D,20070525,000000,208.66,208.66,204.07,204.07,3254,0
ZWC,D,20070528,000000,204.62,208.66,204.62,208.66,547,0
ZWC,D,20070529,000000,209.91,209.91,205.94,205.94,153,0
ZWC,D,20070530,000000,206.57,206.57,204.58,204.58,254,0
ZWC,D,20070531,000000,208.66,208.66,204.95,204.95,263,0
ZWC,D,20070601,000000,208.62,208.62,204.48,204.48,628,0
ZWC,D,20070604,000000,207.4,207.4,204.48,204.48,858,0
ZWC,D,20070605,000000,206.45,207.4,205.74,207.4,2929,0
ZWC,D,20070606,000000,205.36,207.4,205.36,205.45,1454,0
