<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IMC,D,20130306,000000,10.394,10.394,10.201,10.233,2384,0
IMC,D,20130307,000000,10.04,10.195,9.977,10.195,5333,0
IMC,D,20130308,000000,10.298,10.298,10.298,10.298,75,0
IMC,D,20130311,000000,9.983,10.201,9.977,10.014,2384,0
IMC,D,20130312,000000,10.201,10.201,10.001,10.169,499,0
IMC,D,20130313,000000,9.983,10.105,9.943,10.105,11290,0
IMC,D,20130314,000000,10.105,10.169,9.977,10.169,3178,0
IMC,D,20130315,000000,9.943,10.073,9.911,9.977,25104,0
IMC,D,20130318,000000,9.977,9.977,9.977,9.977,56,0
IMC,D,20130319,000000,9.654,9.776,9.654,9.654,1803,0
IMC,D,20130320,000000,9.776,10.169,9.558,10.169,4227,0
IMC,D,20130321,000000,9.911,9.977,9.911,9.977,210,0
IMC,D,20130322,000000,9.776,9.938,9.526,9.654,3358,0
IMC,D,20130325,000000,9.654,9.848,9.4608,9.654,4622,0
IMC,D,20130326,000000,9.1787,9.4923,9.1715,9.4608,3310,0
IMC,D,20130327,000000,9.2362,9.654,9.2362,9.654,5877,0
IMC,D,20130328,000000,9.911,9.911,9.911,9.911,1,0
IMC,D,20130402,000000,9.506,9.506,9.397,9.4608,6104,0
IMC,D,20130403,000000,9.3323,9.3899,9.0098,9.0098,6712,0
IMC,D,20130404,000000,8.9594,9.282,8.9594,9.0817,3423,0
IMC,D,20130405,000000,9.654,9.654,9.0098,9.0098,1983,0
IMC,D,20130408,000000,9.1715,9.1715,9.0098,9.0098,3763,0
IMC,D,20130409,000000,9.0098,9.3323,9.0098,9.0098,5803,0
IMC,D,20130410,000000,9.0098,9.3323,9.0098,9.3323,3364,0
IMC,D,20130411,000000,9.3323,9.3323,9.1715,9.1715,4661,0
IMC,D,20130412,000000,9.486,9.486,9.486,9.486,9,0
IMC,D,20130415,000000,9.3323,9.3323,9.0098,9.0098,4506,0
IMC,D,20130417,000000,8.9469,9.185,8.3662,9.1715,3265,0
IMC,D,20130418,000000,8.6881,8.6881,8.3662,8.5155,19496,0
IMC,D,20130419,000000,8.6881,8.6881,8.6827,8.6827,507,0
IMC,D,20130422,000000,8.4955,8.6881,8.3662,8.373,15281,0
IMC,D,20130423,000000,8.618,8.618,8.3662,8.5155,11256,0
IMC,D,20130424,000000,8.5155,8.5155,8.3662,8.463,1371,0
IMC,D,20130425,000000,8.5668,8.5668,8.3662,8.463,835,0
IMC,D,20130426,000000,8.463,8.463,8.463,8.463,233,0
IMC,D,20130429,000000,8.591,8.591,8.4955,8.4955,285,0
IMC,D,20130502,000000,8.591,8.591,8.591,8.591,155,0
IMC,D,20130506,000000,8.591,8.591,8.4955,8.4955,216,0
IMC,D,20130507,000000,8.4955,8.4955,8.277,8.373,1863,0
IMC,D,20130508,000000,8.2896,8.373,8.2896,8.373,164,0
IMC,D,20130509,000000,8.373,8.373,8.373,8.373,310,0
IMC,D,20130510,000000,8.2704,8.373,8.2704,8.373,798,0
IMC,D,20130513,000000,8.5088,8.5088,8.2704,8.5088,175,0
IMC,D,20130514,000000,8.3996,8.3996,8.3996,8.3996,310,0
IMC,D,20130515,000000,8.3087,8.3929,8.0453,8.3346,2894,0
IMC,D,20130516,000000,8.591,8.591,8.1094,8.3346,186,0
IMC,D,20130517,000000,8.3929,8.3929,7.7237,8.3929,6179,0
IMC,D,20130520,000000,7.9168,7.9168,7.4081,7.5886,7617,0
IMC,D,20130521,000000,7.7237,7.8841,7.7237,7.7556,162858,0
IMC,D,20130522,000000,7.7237,7.8841,7.7237,7.8841,418,0
IMC,D,20130523,000000,7.7297,7.8841,7.7237,7.7237,763,0
IMC,D,20130527,000000,7.6071,7.6139,7.6071,7.6139,357,0
IMC,D,20130528,000000,7.6331,7.8841,7.6331,7.8841,102,0
IMC,D,20130529,000000,7.8841,7.8841,7.7237,7.7237,59,0
IMC,D,20130603,000000,7.7363,7.8522,7.7237,7.7237,1964,0
IMC,D,20130604,000000,7.8841,7.8841,7.8841,7.8841,466,0
IMC,D,20130605,000000,7.8841,8.0453,7.7237,7.7237,7482,0
IMC,D,20130606,000000,7.7237,7.7297,7.7237,7.7297,344,0
IMC,D,20130607,000000,7.7556,8.0769,7.7556,7.9552,443407,0
IMC,D,20130610,000000,8.1419,8.8813,8.1419,8.3662,23506,0
IMC,D,20130611,000000,8.5222,8.528,8.4955,8.4955,31511,0
IMC,D,20130612,000000,8.6881,9.486,8.6881,9.3,166595,0
IMC,D,20130613,000000,9.3,9.3,8.7213,8.9469,3407,0
IMC,D,20130614,000000,9.1652,9.1652,9.1652,9.1652,456,0
IMC,D,20130617,000000,9.1652,9.1715,8.9469,8.9469,1895,0
IMC,D,20130618,000000,9.3261,9.621,8.9469,8.9469,1648637,0
IMC,D,20130619,000000,8.9469,9.2362,8.9469,9.2362,1617,0
IMC,D,20130620,000000,8.9783,8.9783,8.6881,8.6881,2953,0
IMC,D,20130621,000000,8.591,8.591,8.528,8.528,466,0
IMC,D,20130624,000000,8.6117,8.8184,8.6117,8.8184,477,0
IMC,D,20130625,000000,8.618,8.6881,8.528,8.5731,2156,0
IMC,D,20130626,000000,8.373,8.5668,8.3662,8.5668,3601,0
IMC,D,20130627,000000,8.3029,8.6503,8.3029,8.6503,2702,0
IMC,D,20130628,000000,8.591,8.591,8.591,8.591,443,0
IMC,D,20130701,000000,8.5407,8.5542,8.3662,8.3662,2484,0
IMC,D,20130702,000000,8.3662,8.7977,8.3662,8.7977,13063,0
IMC,D,20130703,000000,8.5596,9.1652,8.5596,9.1652,13560,0
IMC,D,20130704,000000,9.1005,9.1005,9.0098,9.0754,8077,0
IMC,D,20130705,000000,8.9783,9.0754,8.9783,9.0754,6448,0
IMC,D,20130708,000000,9.158,9.654,9.158,9.589,9958,0
IMC,D,20130709,000000,9.641,9.641,9.468,9.4923,2811,0
IMC,D,20130710,000000,9.4923,9.686,9.4923,9.686,2093,0
IMC,D,20130711,000000,9.816,9.88,9.558,9.816,3085,0
IMC,D,20130712,000000,9.873,9.886,9.873,9.886,13703,0
IMC,D,20130715,000000,9.943,10.008,9.943,9.95,8956,0
IMC,D,20130716,000000,10.04,10.04,9.963,10.04,4361,0
IMC,D,20130717,000000,10.04,10.155,10.04,10.155,6791,0
IMC,D,20130718,000000,10.155,10.201,10.105,10.163,5336,0
IMC,D,20130719,000000,10.105,10.137,9.977,10.105,13728,0
IMC,D,20130722,000000,10.163,10.163,10.04,10.163,34709,0
IMC,D,20130723,000000,10.155,10.233,10.105,10.105,59962,0
IMC,D,20130724,000000,10.105,10.169,10.04,10.073,14514,0
