<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASB,D,20190611,000000,1.6625,1.6625,1.6157,1.6234,194022,0
ASB,D,20190612,000000,1.639,1.7093,1.639,1.6937,156805,0
ASB,D,20190613,000000,1.6859,1.7874,1.6859,1.7795,191985,0
ASB,D,20190614,000000,1.7795,1.8342,1.7795,1.7795,93137,0
ASB,D,20190617,000000,1.795,1.799,1.639,1.7014,133579,0
ASB,D,20190618,000000,1.6859,1.7405,1.6859,1.7132,75220,0
ASB,D,20190619,000000,1.7405,1.7483,1.7171,1.7405,16025,0
ASB,D,20190621,000000,1.7483,1.7795,1.7405,1.7639,95743,0
ASB,D,20190624,000000,1.7717,1.7757,1.7327,1.7601,33922,0
ASB,D,20190625,000000,1.7561,1.7678,1.7171,1.7171,13962,0
ASB,D,20190626,000000,1.7561,1.7561,1.7171,1.7561,7128,0
ASB,D,20190627,000000,1.7483,1.7561,1.6976,1.7483,32976,0
ASB,D,20190628,000000,1.7483,1.7483,1.7014,1.7171,21702,0
ASB,D,20190701,000000,1.7483,1.7483,1.7171,1.7171,14521,0
ASB,D,20190702,000000,1.7405,1.7561,1.7171,1.7249,30340,0
ASB,D,20190703,000000,1.7054,1.7521,1.6898,1.7132,45048,0
ASB,D,20190704,000000,1.7327,1.7405,1.7171,1.7327,16314,0
ASB,D,20190705,000000,1.7171,1.7327,1.6937,1.7014,208509,0
ASB,D,20190708,000000,1.7171,1.7483,1.7014,1.721,36086,0
ASB,D,20190709,000000,1.7561,1.7561,1.7093,1.7249,198673,0
ASB,D,20190710,000000,1.7171,1.7678,1.7171,1.7288,101810,0
ASB,D,20190711,000000,1.7366,1.7639,1.7366,1.7405,28295,0
ASB,D,20190712,000000,1.721,1.7483,1.7093,1.7366,100408,0
ASB,D,20190715,000000,1.7327,1.7521,1.6976,1.7054,96647,0
ASB,D,20190716,000000,1.7171,1.8263,1.7093,1.795,264502,0
ASB,D,20190717,000000,1.8107,1.9356,1.8107,1.9161,281731,0
ASB,D,20190718,000000,1.9122,1.9122,1.8498,1.8888,60406,0
ASB,D,20190719,000000,1.8732,1.9279,1.8732,1.9006,101794,0
ASB,D,20190722,000000,1.881,1.8926,1.8263,1.8263,73347,0
ASB,D,20190723,000000,1.8419,1.9279,1.8419,1.9122,162812,0
ASB,D,20190724,000000,1.9122,1.9708,1.8849,1.9279,272672,0
ASB,D,20190725,000000,1.9512,1.9668,1.9044,1.9395,143771,0
ASB,D,20190726,000000,1.9356,1.9434,1.8849,1.9122,46188,0
ASB,D,20190729,000000,1.9279,1.9279,1.881,1.9122,47532,0
ASB,D,20190730,000000,1.9044,1.9239,1.881,1.8966,39816,0
ASB,D,20190731,000000,1.9006,1.9122,1.8576,1.9044,85502,0
ASB,D,20190801,000000,1.881,1.9122,1.8732,1.8849,31481,0
ASB,D,20190802,000000,1.8732,1.8849,1.8186,1.8186,95506,0
ASB,D,20190805,000000,1.795,1.8419,1.7561,1.8069,79686,0
ASB,D,20190806,000000,1.8303,1.8303,1.7795,1.803,23517,0
ASB,D,20190807,000000,1.7834,1.8263,1.7171,1.7405,108768,0
ASB,D,20190808,000000,1.8342,1.8342,1.7405,1.7757,139966,0
ASB,D,20190809,000000,1.7795,1.7874,1.7561,1.7561,107949,0
ASB,D,20190812,000000,1.7717,1.7874,1.7561,1.7717,16042,0
ASB,D,20190813,000000,1.7717,1.8342,1.7717,1.8342,72879,0
ASB,D,20190814,000000,1.8342,1.8888,1.8069,1.8458,41630,0
ASB,D,20190816,000000,1.8498,1.8966,1.8224,1.8419,86803,0
ASB,D,20190819,000000,1.8419,1.8966,1.8419,1.8732,63782,0
ASB,D,20190820,000000,1.8772,1.8966,1.8498,1.8888,368902,0
ASB,D,20190821,000000,1.8653,1.9747,1.8653,1.9356,205526,0
ASB,D,20190822,000000,1.9122,1.9512,1.9044,1.9434,55871,0
ASB,D,20190823,000000,1.9434,1.9434,1.92,1.9356,71381,0
ASB,D,20190826,000000,1.9122,1.9434,1.9006,1.9395,98285,0
ASB,D,20190827,000000,1.9395,1.9512,1.8732,1.9083,32685,0
ASB,D,20190828,000000,1.9122,1.9122,1.8653,1.9122,33959,0
ASB,D,20190829,000000,1.9122,1.9122,1.8732,1.9083,49055,0
ASB,D,20190830,000000,1.9122,1.9122,1.8732,1.8732,41938,0
ASB,D,20190902,000000,1.9044,1.9122,1.8732,1.9122,28778,0
ASB,D,20190903,000000,1.9122,1.9122,1.881,1.9122,16264,0
ASB,D,20190904,000000,1.8966,1.9122,1.8888,1.9122,30591,0
ASB,D,20190905,000000,1.92,1.92,1.881,1.92,22398,0
ASB,D,20190906,000000,1.92,1.92,1.8576,1.8888,51515,0
ASB,D,20190909,000000,1.8888,1.9044,1.8693,1.8732,25951,0
ASB,D,20190910,000000,1.8732,1.8966,1.8576,1.8888,47783,0
