<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARH,D,20170921,000000,9.959,10.065,9.931,10.065,5086,0
ARH,D,20170922,000000,10.058,10.071,9.599,9.699,4117,0
ARH,D,20170925,000000,9.705,9.705,9.679,9.679,2153,0
ARH,D,20170926,000000,9.639,9.639,9.506,9.531,3653,0
ARH,D,20170927,000000,9.626,9.965,9.626,9.959,1479,0
ARH,D,20170928,000000,9.965,9.965,9.798,9.798,2384,0
ARH,D,20170929,000000,9.805,9.805,9.664,9.798,3383,0
ARH,D,20171004,000000,9.811,9.819,9.798,9.798,1171,0
ARH,D,20171005,000000,9.885,9.9,9.885,9.9,983,0
ARH,D,20171006,000000,9.998,9.998,9.998,9.998,6656,0
ARH,D,20171009,000000,10.065,10.065,10.065,10.065,1653,0
ARH,D,20171010,000000,10.259,10.259,10.191,10.191,907,0
ARH,D,20171011,000000,10.259,10.266,10.259,10.266,1283,0
ARH,D,20171012,000000,10.266,10.266,10.266,10.266,448,0
ARH,D,20171013,000000,10.266,10.266,10.232,10.232,1501,0
ARH,D,20171016,000000,10.232,10.232,10.199,10.199,973,0
ARH,D,20171017,000000,10.199,10.251,10.199,10.251,948,0
ARH,D,20171018,000000,10.199,10.199,10.199,10.199,854,0
ARH,D,20171019,000000,10.199,10.199,9.931,9.931,17328,0
ARH,D,20171020,000000,9.998,9.998,9.998,9.998,45172,0
ARH,D,20171023,000000,9.998,10.131,9.965,9.965,1947,0
ARH,D,20171024,000000,9.998,9.998,9.998,9.998,4928,0
ARH,D,20171025,000000,9.998,9.998,9.831,9.864,1741,0
ARH,D,20171026,000000,9.864,9.864,9.864,9.864,1124,0
ARH,D,20171027,000000,9.871,9.998,9.864,9.998,19001,0
ARH,D,20171030,000000,9.864,9.864,9.864,9.864,11002,0
ARH,D,20171031,000000,10.131,10.131,10.131,10.131,61,0
ARH,D,20171102,000000,9.998,9.998,9.9,9.965,1480,0
ARH,D,20171108,000000,9.805,9.831,9.798,9.831,2131,0
ARH,D,20171109,000000,9.831,9.831,9.664,9.791,840,0
ARH,D,20171110,000000,9.732,9.732,9.599,9.605,1465,0
ARH,D,20171113,000000,9.664,9.664,9.599,9.599,2470,0
ARH,D,20171114,000000,9.599,9.599,9.538,9.599,2172,0
ARH,D,20171115,000000,9.552,9.599,9.538,9.599,314,0
ARH,D,20171116,000000,9.538,9.785,9.531,9.785,388,0
ARH,D,20171117,000000,9.664,9.779,9.506,9.779,962,0
ARH,D,20171120,000000,9.859,9.859,9.511,9.565,929,0
ARH,D,20171121,000000,9.599,9.599,9.565,9.599,705,0
ARH,D,20171122,000000,9.599,9.664,9.599,9.664,10806,0
ARH,D,20171123,000000,9.664,9.664,9.599,9.599,6598,0
ARH,D,20171124,000000,9.599,9.599,9.525,9.599,565,0
ARH,D,20171127,000000,9.864,9.864,9.525,9.525,128,0
ARH,D,20171128,000000,9.531,9.851,9.518,9.851,751,0
ARH,D,20171129,000000,9.525,9.671,9.518,9.531,23889,0
ARH,D,20171130,000000,9.769,10.248,9.741,9.944,19864,0
ARH,D,20171201,000000,10.047,10.248,10.047,10.147,16550,0
ARH,D,20171204,000000,10.215,10.439,10.215,10.439,1759,0
ARH,D,20171205,000000,10.343,10.343,10.343,10.343,791,0
ARH,D,20171206,000000,10.418,10.418,10.418,10.418,369,0
ARH,D,20171207,000000,10.418,10.418,10.418,10.418,1110,0
ARH,D,20171208,000000,10.418,10.418,10.411,10.418,2883,0
ARH,D,20171211,000000,10.343,10.418,10.343,10.35,370,0
ARH,D,20171212,000000,10.357,10.357,10.35,10.35,289,0
ARH,D,20171213,000000,10.35,10.411,10.35,10.411,5791,0
ARH,D,20171214,000000,10.411,10.722,10.411,10.722,8508,0
