<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ECH,D,19970407,000000,0.16307,0.16307,0.16307,0.16307,2126949,0
ECH,D,19970408,000000,0.15154,0.15154,0.15154,0.15154,1627030,0
ECH,D,19970409,000000,0.15154,0.15154,0.15154,0.15154,3250995,0
ECH,D,19970410,000000,0.15377,0.15377,0.15377,0.15377,1381670,0
ECH,D,19970411,000000,0.14909,0.14909,0.14909,0.14909,2152189,0
ECH,D,19970414,000000,0.14688,0.14688,0.14688,0.14688,2526808,0
ECH,D,19970415,000000,0.14443,0.14443,0.14443,0.14443,3114161,0
ECH,D,19970416,000000,0.14909,0.14909,0.14909,0.14909,2705290,0
ECH,D,19970417,000000,0.14443,0.14443,0.14443,0.14443,1729968,0
ECH,D,19970418,000000,0.14443,0.14443,0.14443,0.14443,2221234,0
ECH,D,19970421,000000,0.15154,0.15154,0.15154,0.15154,2353381,0
ECH,D,19970422,000000,0.15377,0.15377,0.15377,0.15377,2541772,0
ECH,D,19970423,000000,0.15377,0.15377,0.15377,0.15377,2479938,0
ECH,D,19970424,000000,0.15377,0.15377,0.15377,0.15377,910059,0
ECH,D,19970425,000000,0.14688,0.14688,0.14688,0.14688,1471270,0
ECH,D,19970428,000000,0.14688,0.14688,0.14688,0.14688,2560703,0
ECH,D,19970429,000000,0.14223,0.14223,0.14223,0.14223,1241231,0
ECH,D,19970430,000000,0.14577,0.14577,0.14577,0.14577,1472532,0
ECH,D,19970505,000000,0.14577,0.14577,0.14577,0.14577,1554919,0
ECH,D,19970506,000000,0.14443,0.14443,0.14443,0.14443,3647070,0
ECH,D,19970507,000000,0.13978,0.13978,0.13978,0.13978,1837780,0
ECH,D,19970508,000000,0.14443,0.14443,0.14443,0.14443,1809294,0
ECH,D,19970509,000000,0.15154,0.15154,0.15154,0.15154,6538046,0
ECH,D,19970512,000000,0.15377,0.15377,0.15377,0.15377,4349084,0
ECH,D,19970513,000000,0.16086,0.16086,0.16086,0.16086,9090998,0
