<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVT,D,19990809,000000,1.7676,1.7676,1.7676,1.7676,1707,0
NVT,D,19990810,000000,1.7013,1.7013,1.7013,1.7013,5946,0
NVT,D,19990811,000000,1.7234,1.7234,1.7234,1.7234,5993,0
NVT,D,19990812,000000,1.7455,1.7455,1.7455,1.7455,1541,0
NVT,D,19990813,000000,1.7234,1.7234,1.7234,1.7234,1245,0
NVT,D,19990816,000000,1.7234,1.7234,1.7234,1.7234,9141,0
NVT,D,19990817,000000,1.7676,1.7676,1.7676,1.7676,2082,0
NVT,D,19990818,000000,1.6792,1.6792,1.6792,1.6792,24757,0
NVT,D,19990819,000000,1.7013,1.7013,1.7013,1.7013,10522,0
NVT,D,19990820,000000,1.6792,1.6792,1.6792,1.6792,15306,0
NVT,D,19990823,000000,1.6792,1.6792,1.6792,1.6792,45596,0
NVT,D,19990824,000000,1.6792,1.6792,1.6792,1.6792,14209,0
NVT,D,19990825,000000,1.7234,1.7234,1.7234,1.7234,4438,0
NVT,D,19990826,000000,1.7013,1.7013,1.7013,1.7013,5622,0
NVT,D,19990827,000000,1.6792,1.6792,1.6792,1.6792,14586,0
NVT,D,19990830,000000,1.7013,1.7013,1.7013,1.7013,7965,0
NVT,D,19990831,000000,1.6792,1.6792,1.6792,1.6792,19866,0
NVT,D,19990901,000000,1.6792,1.6792,1.6792,1.6792,7986,0
NVT,D,19990902,000000,1.6792,1.6792,1.6792,1.6792,21974,0
NVT,D,19990903,000000,1.6792,1.6792,1.6792,1.6792,2101,0
NVT,D,19990906,000000,1.6792,1.6792,1.6792,1.6792,20337,0
NVT,D,19990907,000000,1.6792,1.6792,1.6792,1.6792,18064,0
NVT,D,19990908,000000,1.6792,1.6792,1.6792,1.6792,6654,0
NVT,D,19990909,000000,1.6349,1.6349,1.6349,1.6349,1998,0
NVT,D,19990910,000000,1.6349,1.6349,1.6349,1.6349,3053,0
NVT,D,19990913,000000,1.657,1.657,1.657,1.657,3622,0
NVT,D,19990914,000000,1.6349,1.6349,1.6349,1.6349,8675,0
NVT,D,19990915,000000,1.5024,1.5024,1.5024,1.5024,14779,0
NVT,D,19990916,000000,1.3699,1.3699,1.3699,1.3699,27054,0
NVT,D,19990917,000000,1.4582,1.4582,1.4582,1.4582,47297,0
NVT,D,19990920,000000,1.4582,1.4582,1.4582,1.4582,24482,0
NVT,D,19990921,000000,1.4582,1.4582,1.4582,1.4582,42550,0
NVT,D,19990922,000000,1.4582,1.4582,1.4582,1.4582,23820,0
NVT,D,19990923,000000,1.4582,1.4582,1.4582,1.4582,15372,0
NVT,D,19990924,000000,1.4582,1.4582,1.4582,1.4582,32693,0
NVT,D,19990927,000000,1.4582,1.4582,1.4582,1.4582,23590,0
NVT,D,19990928,000000,1.6041,1.6041,1.6041,1.6041,31712,0
NVT,D,19990929,000000,1.7632,1.7632,1.7632,1.7632,31961,0
NVT,D,19990930,000000,1.7144,1.7144,1.7144,1.7144,33104,0
NVT,D,19991001,000000,1.5908,1.5908,1.5908,1.5908,15629,0
NVT,D,19991004,000000,1.5466,1.5466,1.5466,1.5466,12265,0
NVT,D,19991005,000000,1.5908,1.5908,1.5908,1.5908,25346,0
NVT,D,19991006,000000,1.6128,1.6128,1.6128,1.6128,39283,0
NVT,D,19991007,000000,1.657,1.657,1.657,1.657,4685,0
NVT,D,19991008,000000,1.6792,1.6792,1.6792,1.6792,33528,0
NVT,D,19991011,000000,1.7676,1.7676,1.7676,1.7676,51426,0
NVT,D,19991012,000000,1.8781,1.8781,1.8781,1.8781,44146,0
NVT,D,19991013,000000,1.7676,1.7676,1.7676,1.7676,34024,0
NVT,D,19991014,000000,1.7897,1.7897,1.7897,1.7897,48013,0
NVT,D,19991015,000000,1.7676,1.7676,1.7676,1.7676,27744,0
NVT,D,19991018,000000,1.7676,1.7676,1.7676,1.7676,28512,0
NVT,D,19991019,000000,1.8338,1.8338,1.8338,1.8338,13211,0
NVT,D,19991020,000000,1.9001,1.9001,1.9001,1.9001,58826,0
NVT,D,19991021,000000,1.9443,1.9443,1.9443,1.9443,47166,0
NVT,D,19991022,000000,1.9001,1.9001,1.9001,1.9001,36566,0
NVT,D,19991025,000000,1.9001,1.9001,1.9001,1.9001,27970,0
NVT,D,19991026,000000,1.9001,1.9001,1.9001,1.9001,18605,0
NVT,D,19991027,000000,1.9001,1.9001,1.9001,1.9001,18307,0
NVT,D,19991028,000000,1.9443,1.9443,1.9443,1.9443,17892,0
NVT,D,19991029,000000,1.9001,1.9001,1.9001,1.9001,25945,0
NVT,D,19991102,000000,1.8781,1.8781,1.8781,1.8781,30064,0
NVT,D,19991103,000000,1.9221,1.9221,1.9221,1.9221,15730,0
NVT,D,19991104,000000,1.9443,1.9443,1.9443,1.9443,30029,0
NVT,D,19991105,000000,1.8781,1.8781,1.8781,1.8781,20791,0
NVT,D,19991108,000000,1.8559,1.8559,1.8559,1.8559,15140,0
NVT,D,19991109,000000,1.8735,1.8735,1.8735,1.8735,18354,0
NVT,D,19991110,000000,1.8205,1.8205,1.8205,1.8205,8505,0
NVT,D,19991115,000000,1.6393,1.6393,1.6393,1.6393,7505,0
NVT,D,19991116,000000,1.6792,1.6792,1.6792,1.6792,10622,0
NVT,D,19991117,000000,1.6748,1.6748,1.6748,1.6748,16432,0
NVT,D,19991118,000000,1.5908,1.5908,1.5908,1.5908,3272,0
NVT,D,19991119,000000,1.6615,1.6615,1.6615,1.6615,18365,0
NVT,D,19991122,000000,1.7676,1.7676,1.7676,1.7676,32083,0
NVT,D,19991123,000000,1.7897,1.7897,1.7897,1.7897,37126,0
NVT,D,19991124,000000,1.7897,1.7897,1.7897,1.7897,16758,0
NVT,D,19991125,000000,1.8957,1.8957,1.8957,1.8957,43609,0
NVT,D,19991126,000000,1.9443,1.9443,1.9443,1.9443,67412,0
NVT,D,19991129,000000,1.9001,1.9001,1.9001,1.9001,5025,0
NVT,D,19991130,000000,1.8559,1.8559,1.8559,1.8559,28679,0
NVT,D,19991201,000000,1.8781,1.8781,1.8781,1.8781,67434,0
NVT,D,19991202,000000,1.8781,1.8781,1.8781,1.8781,14563,0
NVT,D,19991203,000000,1.8559,1.8559,1.8559,1.8559,40879,0
NVT,D,19991206,000000,1.9044,1.9044,1.9044,1.9044,19713,0
NVT,D,19991207,000000,1.9399,1.9399,1.9399,1.9399,44801,0
NVT,D,19991208,000000,1.9885,1.9885,1.9885,1.9885,120625,0
NVT,D,19991209,000000,2.0327,2.0327,2.0327,2.0327,63479,0
NVT,D,19991210,000000,2.0989,2.0989,2.0989,2.0989,20771,0
NVT,D,19991213,000000,2.2095,2.2095,2.2095,2.2095,102713,0
NVT,D,19991214,000000,2.3199,2.3199,2.3199,2.3199,91697,0
NVT,D,19991215,000000,2.4303,2.4303,2.4303,2.4303,99001,0
NVT,D,19991216,000000,2.5188,2.5188,2.5188,2.5188,107690,0
NVT,D,19991217,000000,2.6293,2.6293,2.6293,2.6293,66248,0
NVT,D,19991220,000000,2.7619,2.7619,2.7619,2.7619,132136,0
NVT,D,19991221,000000,2.8943,2.8943,2.8943,2.8943,95709,0
NVT,D,19991222,000000,3.0933,3.0933,3.0933,3.0933,83438,0
NVT,D,19991223,000000,3.1594,3.1594,3.1594,3.1594,88021,0
NVT,D,19991227,000000,3.049,3.049,3.049,3.049,79231,0
NVT,D,19991228,000000,2.7619,2.7619,2.7619,2.7619,57533,0
NVT,D,19991229,000000,2.7839,2.7839,2.7839,2.7839,80982,0
NVT,D,20000103,000000,3.049,3.049,3.049,3.049,13105,0
NVT,D,20000104,000000,3.1594,3.1594,3.1594,3.1594,45615,0
NVT,D,20000105,000000,3.0048,3.0048,3.0048,3.0048,86341,0
NVT,D,20000106,000000,3.0712,3.0712,3.0712,3.0712,36126,0
NVT,D,20000107,000000,3.0933,3.0933,3.0933,3.0933,76572,0
NVT,D,20000110,000000,3.0933,3.0933,3.0933,3.0933,31491,0
NVT,D,20000111,000000,2.9606,2.9606,2.9606,2.9606,39304,0
NVT,D,20000112,000000,3.0048,3.0048,3.0048,3.0048,30338,0
NVT,D,20000113,000000,3.049,3.049,3.049,3.049,49991,0
NVT,D,20000114,000000,2.9606,2.9606,2.9606,2.9606,28723,0
NVT,D,20000117,000000,3.049,3.049,3.049,3.049,33400,0
NVT,D,20000118,000000,2.8722,2.8722,2.8722,2.8722,30093,0
NVT,D,20000119,000000,2.8722,2.8722,2.8722,2.8722,18442,0
NVT,D,20000120,000000,2.7839,2.7839,2.7839,2.7839,24201,0
NVT,D,20000121,000000,2.7397,2.7397,2.7397,2.7397,12926,0
NVT,D,20000124,000000,2.828,2.828,2.828,2.828,47527,0
NVT,D,20000125,000000,2.7397,2.7397,2.7397,2.7397,24065,0
NVT,D,20000126,000000,2.828,2.828,2.828,2.828,15664,0
NVT,D,20000127,000000,2.8722,2.8722,2.8722,2.8722,38923,0
NVT,D,20000128,000000,2.9164,2.9164,2.9164,2.9164,49473,0
NVT,D,20000131,000000,3.0048,3.0048,3.0048,3.0048,19195,0
NVT,D,20000201,000000,3.2919,3.2919,3.2919,3.2919,51106,0
NVT,D,20000202,000000,3.2701,3.2701,3.2701,3.2701,49993,0
NVT,D,20000203,000000,3.2701,3.2701,3.2701,3.2701,143151,0
NVT,D,20000204,000000,3.2701,3.2701,3.2701,3.2701,55150,0
NVT,D,20000207,000000,3.1374,3.1374,3.1374,3.1374,44742,0
NVT,D,20000208,000000,3.2701,3.2701,3.2701,3.2701,39751,0
NVT,D,20000209,000000,3.3583,3.3583,3.3583,3.3583,94146,0
NVT,D,20000210,000000,3.3142,3.3142,3.3142,3.3142,89980,0
NVT,D,20000211,000000,3.3583,3.3583,3.3583,3.3583,63411,0
NVT,D,20000214,000000,3.2257,3.2257,3.2257,3.2257,23110,0
NVT,D,20000215,000000,3.049,3.049,3.049,3.049,5809,0
NVT,D,20000216,000000,3.1374,3.1374,3.1374,3.1374,37724,0
NVT,D,20000217,000000,3.1374,3.1374,3.1374,3.1374,8866,0
NVT,D,20000218,000000,3.2479,3.2479,3.2479,3.2479,8800,0
NVT,D,20000221,000000,3.2479,3.2479,3.2479,3.2479,17788,0
NVT,D,20000222,000000,3.2701,3.2701,3.2701,3.2701,22739,0
NVT,D,20000223,000000,3.3142,3.3142,3.3142,3.3142,15675,0
NVT,D,20000224,000000,3.3142,3.3142,3.3142,3.3142,60197,0
NVT,D,20000225,000000,3.2479,3.2479,3.2479,3.2479,38808,0
NVT,D,20000228,000000,2.9828,2.9828,2.9828,2.9828,7100,0
NVT,D,20000229,000000,3.2701,3.2701,3.2701,3.2701,18263,0
NVT,D,20000301,000000,3.5794,3.5794,3.5794,3.5794,40806,0
NVT,D,20000302,000000,3.5351,3.5351,3.5351,3.5351,28061,0
NVT,D,20000303,000000,3.6015,3.6015,3.6015,3.6015,19057,0
NVT,D,20000306,000000,3.756,3.756,3.756,3.756,18658,0
NVT,D,20000307,000000,3.756,3.756,3.756,3.756,26953,0
NVT,D,20000308,000000,3.5351,3.5351,3.5351,3.5351,12455,0
NVT,D,20000309,000000,3.6015,3.6015,3.6015,3.6015,14936,0
NVT,D,20000310,000000,3.4026,3.4026,3.4026,3.4026,16676,0
NVT,D,20000313,000000,3.4467,3.4467,3.4467,3.4467,21319,0
NVT,D,20000314,000000,3.2701,3.2701,3.2701,3.2701,9007,0
NVT,D,20000315,000000,3.1374,3.1374,3.1374,3.1374,14881,0
NVT,D,20000316,000000,3.4246,3.4246,3.4246,3.4246,9276,0
NVT,D,20000317,000000,3.5351,3.5351,3.5351,3.5351,25284,0
NVT,D,20000320,000000,3.4026,3.4026,3.4026,3.4026,9873,0
NVT,D,20000321,000000,3.4026,3.4026,3.4026,3.4026,7093,0
NVT,D,20000322,000000,3.4026,3.4026,3.4026,3.4026,12447,0
NVT,D,20000323,000000,3.4026,3.4026,3.4026,3.4026,8437,0
NVT,D,20000324,000000,3.4026,3.4026,3.4026,3.4026,7486,0
NVT,D,20000327,000000,3.3583,3.3583,3.3583,3.3583,16290,0
NVT,D,20000328,000000,3.3142,3.3142,3.3142,3.3142,8701,0
NVT,D,20000329,000000,3.2479,3.2479,3.2479,3.2479,12181,0
NVT,D,20000330,000000,3.2257,3.2257,3.2257,3.2257,11890,0
NVT,D,20000331,000000,3.1374,3.1374,3.1374,3.1374,13899,0
NVT,D,20000403,000000,3.2479,3.2479,3.2479,3.2479,1888,0
NVT,D,20000404,000000,3.1817,3.1817,3.1817,3.1817,4034,0
NVT,D,20000405,000000,3.1374,3.1374,3.1374,3.1374,10328,0
NVT,D,20000406,000000,3.1817,3.1817,3.1817,3.1817,2514,0
NVT,D,20000407,000000,3.1817,3.1817,3.1817,3.1817,4268,0
NVT,D,20000410,000000,3.1817,3.1817,3.1817,3.1817,5659,0
NVT,D,20000411,000000,3.1374,3.1374,3.1374,3.1374,3656,0
NVT,D,20000412,000000,3.3583,3.3583,3.3583,3.3583,7001,0
NVT,D,20000413,000000,3.6897,3.6897,3.6897,3.6897,90520,0
NVT,D,20000414,000000,3.6676,3.6676,3.6676,3.6676,31061,0
NVT,D,20000417,000000,3.5351,3.5351,3.5351,3.5351,77385,0
NVT,D,20000418,000000,3.6456,3.6456,3.6456,3.6456,10439,0
NVT,D,20000419,000000,3.6676,3.6676,3.6676,3.6676,10736,0
NVT,D,20000420,000000,3.6676,3.6676,3.6676,3.6676,7112,0
NVT,D,20000425,000000,3.6676,3.6676,3.6676,3.6676,7845,0
NVT,D,20000426,000000,3.756,3.756,3.756,3.756,6111,0
NVT,D,20000427,000000,3.756,3.756,3.756,3.756,12184,0
NVT,D,20000428,000000,3.977,3.977,3.977,3.977,28650,0
NVT,D,20000504,000000,3.977,3.977,3.977,3.977,11966,0
NVT,D,20000505,000000,3.977,3.977,3.977,3.977,12409,0
NVT,D,20000508,000000,3.977,3.977,3.977,3.977,14378,0
NVT,D,20000509,000000,3.9327,3.9327,3.9327,3.9327,6726,0
NVT,D,20000510,000000,3.977,3.977,3.977,3.977,6769,0
NVT,D,20000511,000000,3.977,3.977,3.977,3.977,7242,0
NVT,D,20000512,000000,3.9108,3.9108,3.9108,3.9108,16191,0
NVT,D,20000515,000000,3.977,3.977,3.977,3.977,6449,0
NVT,D,20000516,000000,4.1758,4.1758,4.1758,4.1758,11314,0
NVT,D,20000517,000000,3.977,3.977,3.977,3.977,18228,0
NVT,D,20000518,000000,3.999,3.999,3.999,3.999,5794,0
NVT,D,20000519,000000,3.977,3.977,3.977,3.977,8463,0
NVT,D,20000522,000000,3.977,3.977,3.977,3.977,6337,0
NVT,D,20000523,000000,3.8885,3.8885,3.8885,3.8885,17720,0
NVT,D,20000524,000000,3.8443,3.8443,3.8443,3.8443,7451,0
NVT,D,20000525,000000,3.8443,3.8443,3.8443,3.8443,9191,0
NVT,D,20000526,000000,3.8002,3.8002,3.8002,3.8002,8145,0
NVT,D,20000529,000000,3.7118,3.7118,3.7118,3.7118,5676,0
