<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IFI,D,20190404,000000,2.58,2.58,2.4533,2.4533,19309,0
IFI,D,20190405,000000,2.5077,2.5077,2.4625,2.4716,489,0
IFI,D,20190408,000000,2.4625,2.5893,2.4625,2.4894,2434,0
IFI,D,20190409,000000,2.4807,2.4986,2.4807,2.4986,971,0
IFI,D,20190410,000000,2.5348,2.7612,2.5169,2.5169,5316,0
IFI,D,20190411,000000,2.5077,2.5981,2.5077,2.5981,2878,0
IFI,D,20190412,000000,2.5348,2.562,2.3809,2.4625,14401,0
IFI,D,20190415,000000,2.4353,2.4353,2.3175,2.3899,6934,0
IFI,D,20190416,000000,2.3267,2.3719,2.2452,2.3719,10999,0
IFI,D,20190417,000000,2.3719,2.58,2.3719,2.3992,2560,0
IFI,D,20190418,000000,2.4082,2.4082,2.3448,2.3992,234,0
IFI,D,20190423,000000,2.4082,2.4082,2.3539,2.3539,2818,0
IFI,D,20190424,000000,2.3539,2.4263,2.3539,2.4263,704,0
IFI,D,20190425,000000,2.3719,2.3992,2.3719,2.3992,1028,0
IFI,D,20190426,000000,2.3809,2.3809,2.3267,2.3719,9499,0
IFI,D,20190429,000000,2.4353,2.562,2.4082,2.562,11682,0
IFI,D,20190430,000000,2.5348,2.5981,2.4533,2.5981,8087,0
IFI,D,20190502,000000,2.5893,2.6707,2.4443,2.5077,6477,0
IFI,D,20190506,000000,2.5348,2.5348,2.3719,2.4894,11902,0
IFI,D,20190507,000000,2.4894,2.4894,2.3539,2.4263,7873,0
IFI,D,20190508,000000,2.3628,2.5348,2.3628,2.5348,2499,0
IFI,D,20190509,000000,2.5348,2.5348,2.2813,2.4986,13207,0
IFI,D,20190510,000000,2.4171,2.4171,2.4171,2.4171,110,0
IFI,D,20190513,000000,2.4171,2.4171,2.4171,2.4171,110,0
IFI,D,20190514,000000,2.4171,2.4807,2.3539,2.4716,6251,0
IFI,D,20190515,000000,2.3992,2.3992,2.3992,2.3992,276,0
IFI,D,20190516,000000,2.4082,2.4082,2.3992,2.4082,3231,0
IFI,D,20190517,000000,2.5348,2.7883,2.5348,2.7158,41668,0
IFI,D,20190520,000000,2.7158,2.7612,2.5348,2.5348,8746,0
IFI,D,20190521,000000,2.58,2.5893,2.4353,2.5348,22339,0
IFI,D,20190522,000000,2.571,2.6074,2.5348,2.58,6705,0
IFI,D,20190523,000000,2.5893,2.6254,2.544,2.5981,9228,0
IFI,D,20190524,000000,2.6436,2.7612,2.5981,2.6798,5427,0
IFI,D,20190527,000000,2.7158,2.7612,2.6526,2.6978,9080,0
IFI,D,20190528,000000,2.6978,2.6978,2.6436,2.6978,3114,0
IFI,D,20190529,000000,2.6344,2.6344,2.5348,2.5348,550,0
IFI,D,20190530,000000,2.544,2.6344,2.544,2.6344,3308,0
